year,id,ch_name,en_name,type,duration,magnitude,hpa,wind_speed,r7_km,r10_km,alert_level
,,,,,2010/8/31 20:30,,,,,,
2010,201006,萊羅克,LIONROCK,9,2010/8/31 20:30,輕度,990,23,100,---,15
,,,,,2010/9/2 14:30,,,,,,
2009,200917,芭瑪,PARMA,特殊,2009/10/3 05:30,中度,920,43,250,80,29
,,,,,2009/10/6 17:30,,,,,,
2009,200908,莫拉克,MORAKOT,3,2009/8/5 20:30,中度,955,40,250,100,36
,,,,,2009/8/10 05:30,,,,,,
2009,200906,莫拉菲,MOLAVE,---,2009/7/16 22:00,輕度,978,28,100,---,13
,,,,,2009/7/18 08:30,,,,,,
2009,200903,蓮花,LINFA,9,2009/6/19 20:30,輕度,980,28,150,---,21
,,,,,2009/6/22 08:30,,,,,,
2008,200815,薔蜜,JANGMI,2,2008/9/26 23:30,強烈,925,53,280,100,25
,,,,,2008/9/29 23:30,,,,,,
2008,200814,哈格比,HAGUPIT,---,2008/9/21 14:30,中度,940,45,280,100,15
,,,,,2008/9/23 08:30,,,,,,
2008,200813,辛樂克,SINLAKU,2,2008/9/11 08:30,強烈,925,51,250,100,43
,,,,,2008/9/16 14:30,,,,,,
2008,200812,如麗,NURI,---,2008/8/19 11:30,中度,955,40,220,80,16
,,,,,2008/8/21 08:30,,,,,,
2008,200808,鳳凰,FUNG-WONG,3,2008/7/26 11:30,中度,948,43,220,80,25
,,,,,2008/7/29 11:30,,,,,,
2008,200807,卡玫基,KALMAEGI,2,2008/7/16 14:30,中度,970,33,120,50,20
,,,,,2008/7/18 23:30,,,,,,
2007,200723,米塔,MITAG,---,2007/11/26 05:30,中度,955,35,200,80,11
,,,,,2007/11/27 11:30,,,,,,
2007,200715,柯羅莎,KROSA,2,2007/10/4 17:30,強烈,925,51,300,120,27
,,,,,2007/10/7 23:30,,,,,,
2007,200712,韋帕,WIPHA,1,2007/9/17 05:30,中度,935,48,200,80,18
,,,,,2007/9/19 08:30,,,,,,
2007,200708,聖帕,SEPAT,3,2007/8/16 08:30,強烈,920,53,250,100,27
,,,,,2007/8/19 14:30,,,,,,
2007,200707,梧提,WUTIP,3,2007/8/8 11:30,輕度,992,18,100,---,9
,,,,,2007/8/9 11:30,,,,,,
2007,200706,帕布,PABUK,4,2007/8/6 23:30,輕度,980,28,150,---,14
,,,,,2007/8/8 14:30,,,,,,
2006,200613,珊珊,SHANSHAN,---,2006/9/14 14:30,中度,945,48,200,80,17
,,,,,2006/9/16 14:30,,,,,,
2006,200609,寶發,BOPHA,4,2006/8/7 20:30,輕度,985,23,120,---,15
,,,,,2006/8/9 14:30,,,,,,
2006,200608,桑美,SAOMAI,---,2006/8/9 02:30,中度,935,48,180,80,16
,,,,,2006/8/10 23:30,,,,,,
2006,200605,凱米,KAEMI,3,2006/7/23 14:30,中度,960,38,200,80,21
,,,,,2006/7/26 02:30,,,,,,
2006,200604,碧利斯,BILIS,2,2006/7/12 02:30,輕度,978,25,300,---,25
,,,,,2006/7/15 02:30,,,,,,
2006,200603,艾維尼,EWINIAR,---,2006/7/7 23:30,中度,925,43,300,80,11
,,,,,2006/7/9 05:30,,,,,,
2006,200601,珍珠,CHANCHU,9,2006/5/16 17:30,中度,943,45,300,100,17
,,,,,2006/5/18 17:30,,,,,,
2005,200519,龍王,LONGWANG,3,2005/9/30 20:30,強烈,925,51,200,80,21
,,,,,2005/10/3 08:30,,,,,,
2005,200518,丹瑞,DAMREY,---,2005/9/21 10:30,輕度,955,25,200,---,17
,,,,,2005/9/23 08:30,,,,,,
2005,200515,卡努,KHANUN,---,2005/9/9 17:30,中度,950,43,200,80,16
,,,,,2005/9/11 14:30,,,,,,
2005,200513,泰利,TALIM,3,2005/8/30 08:30,強烈,920,53,250,100,22
,,,,,2005/9/1 23:30,,,,,,
2005,200510,珊瑚,SANVU,---,2005/8/11 16:00,輕度,985,25,200,---,19
,,,,,2005/8/13 20:30,,,,,,
2005,200509,馬莎,MATSA,1,2005/8/3 08:30,中度,955,40,250,80,25
,,,,,2005/8/6 08:30,,,,,,
2005,200505,海棠,HAITANG,3,2005/7/16 14:30,強烈,912,55,280,120,29
,,,,,2005/7/20 02:30,,,,,,
2004,200427,南瑪都,NANMADOL,9,2004/12/3 02:30,中度,940,38,250,80,13
,,,,,2004/12/4 14:30,,,,,,
2004,200424,納坦,NOCK-TEN,6,2004/10/23 20:30,中度,945,43,250,100,19
,,,,,2004/10/26 02:30,,,,,,
2004,200421,米雷,MEARI,---,2004/9/26 08:30,中度,940,40,200,80,11
,,,,,2004/9/27 14:30,,,,,,
2004,200420,海馬,HAIMA,6,2004/9/11 23:30,輕度,998,18,100,---,12
,,,,,2004/9/13 08:30,,,,,,
2004,200417,艾利,AERE,1,2004/8/23 02:30,中度,960,38,200,50,28
,,,,,2004/8/26 11:30,,,,,,
2004,200413,蘭寧,RANANIM,---,2004/8/10 23:30,中度,955,40,250,100,18
,,,,,2004/8/13 02:30,,,,,,
2004,200409,康柏斯,KOMPASU,---,2004/7/14 09:30,輕度,995,20,100,---,10
,,,,,2004/7/15 11:30,,,,,,
2004,200407,敏督利,MINDULLE,6,2004/6/28 17:30,中度,942,45,250,100,39
,,,,,2004/7/3 11:30,,,,,,
2004,200404,康森,CONSON,---,2004/6/7 17:30,中度,970,33,150,50,19
,,,,,2004/6/9 23:30,,,,,,
2003,200319,米勒,MELOR,8,2003/11/2 05:30,輕度,975,25,150,---,15
,,,,,2003/11/3 23:30,,,,,,
2003,200313,杜鵑,DUJUAN,5,2003/8/31 12:30,中度,950,43,250,100,19
,,,,,2003/9/2 17:30,,,,,,
2003,200312,科羅旺,KROVANH,---,2003/8/22 08:30,中度,970,33,250,100,11
,,,,,2003/8/23 14:30,,,,,,
2003,200311,梵高,VAMCO,---,2003/8/19 12:30,輕度,998,18,100,---,9
,,,,,2003/8/20 11:30,,,,,,
2003,200309,莫拉克,MORAKOT,4,2003/8/2 17:30,輕度,990,23,100,---,19
,,,,,2003/8/4 23:30,,,,,,
2003,200307,尹布都,IMBUDO,---,2003/7/21 20:30,中度,935,48,300,120,15
,,,,,2003/7/23 14:30,,,,,,
2003,200306,蘇迪勒,SOUDELOR,---,2003/6/16 15:30,中度,960,38,200,50,18
,,,,,2003/6/18 17:30,,,,,,
2003,200305,南卡,NANGKA,---,2003/6/1 20:30,輕度,990,23,100,---,11
,,,,,2003/6/3 02:30,,,,,,
2003,200302,柯吉拉,KUJIRA,---,2003/4/21 05:30,中度,925,43,250,100,30
,,,,,2003/4/24 20:30,,,,,,
2002,200216,辛樂克,SINLAKU,1,2002/9/4 05:15,中度,950,40,300,100,33
,,,,,2002/9/8 05:50,,,,,,
2002,200208,娜克莉,NAKRI,9,2002/7/9 05:50,輕度,987,18,80,---,15
,,,,,2002/7/10 23:05,,,,,,
2002,200205,雷馬遜,RAMMASUN,---,2002/7/2 14:45,中度,950,45,300,100,18
,,,,,2002/7/4 17:25,,,,,,
2001,200121,海燕,HAIYAN,---,2001/10/15 08:15,中度,965,35,250,100,14
,,,,,2001/10/16 23:15,,,,,,
2001,200119,利奇馬,LEKIMA,4,2001/9/23 20:30,中度,965,35,180,50,37
,,,,,2001/9/28 09:10,,,,,,
2001,200116,納莉,NARI,特殊,2001/9/8 23:50,中度,960,40,150,50,12
,,,,,2001/9/10 09:00,,,,,,
,,,,,2001/9/13 15:00,中度,960,40,150,50,52
,,,,,2001/9/19 23:05,,,,,,
2001,200108,桃芝,TORAJI,3,2001/7/28 05:25,中度,962,38,250,100,28
,,,,,2001/7/31 14:35,,,,,,
2001,200107,玉兔,YUTU,---,2001/7/23 20:10,輕度,962,30,150,---,8
,,,,,2001/7/24 17:20,,,,,,
2001,200105,潭美,TRAMI,4,2001/7/10 09:40,輕度,995,20,80,---,13
,,,,,2001/7/11 21:00,,,,,,
